jump_size,time,IAC
132,0.058458,30.481228307842652
133,0.059078,30.5555981286273
134,0.057091,30.459047736223187
135,0.057742,30.570885620155735
136,0.057477,30.077453678403142
137,0.056559,30.30114755085096
138,0.056557,31.059397719108336
139,0.058011,30.12727957358603
140,0.056192,30.21759205266791
141,0.055692,30.773409236709877
142,0.054809,30.42676954278324
143,0.054619,30.31086562720224
144,0.053204,30.466183803605873
145,0.054111,30.912606988555936
146,0.052333,30.219518858511886
147,0.052377,30.207535260060382
148,0.053476,31.340156505274244
149,0.054284,30.99562530341909
150,0.05193,31.46910811882146
151,0.051727,30.46770582576809
152,0.050999,30.14290023122521
153,0.051137,30.900425186898424
154,0.052792,29.995510839776372
155,0.052118,31.509243628969816
156,0.050165,30.056800264527716
157,0.051118,29.943520375138
158,0.051463,30.208498011791317
159,0.04923,30.092125285458266
160,0.049566,30.092522169348776
161,0.050589,30.714076919997982
162,0.049672,29.97163676685821
163,0.047797,30.823318819738645
164,0.049004,30.230199012704
165,0.047274,29.918548873576118
166,0.046446,30.35042180227021
167,0.047069,30.285260503800867
168,0.046153,30.46795038897866
169,0.04589,30.82106817677974
170,0.045894,30.145619941443766
171,0.047394,30.18556341371234
172,0.045239,30.52204675754302
173,0.04553,30.60001660802553
174,0.04444,30.42568566463004
175,0.044719,31.024301018732807
176,0.044231,30.83396674591269
177,0.044251,30.173439492587963
178,0.043901,30.048489872895203
179,0.043227,30.877274649958093
180,0.044569,31.291893958695233
181,0.044271,31.31686377253668
182,0.042787,31.104962087729454
183,0.043518,30.975732904194583
184,0.044708,31.59795012233547
185,0.042769,31.136005852215202
186,0.044096,30.44801226404431
187,0.043594,30.371824082886246
188,0.045495,30.00943153842905
189,0.045057,30.806616753698748
190,0.041987,30.53981995949131
191,0.040739,31.13761684744673
192,0.041535,30.067970378091193
193,0.042394,31.583621243719435
194,0.041867,31.048239121273674
195,0.040282,30.07980239159683
196,0.041998,30.144271110131328
197,0.040641,30.63131560365508
198,0.041668,30.127739733426008
199,0.041174,31.284079530234965
200,0.041134,30.17972950417248
201,0.042151,31.6476425824185
202,0.042201,29.799336872824355
203,0.041867,30.93546462757265
204,0.041625,30.23131825935522
205,0.041582,29.74095829217035
206,0.04106,31.43674628630713
207,0.041145,31.03829186193281
208,0.040677,29.901027216136896
209,0.040609,31.87038092420718
210,0.040496,30.36091104739034
211,0.040184,29.72662697433601
212,0.040142,29.84089650847801
213,0.040177,31.468596008387657
214,0.039891,30.567039209165387
215,0.038508,31.991201793073387
216,0.038999,30.12657855384836
217,0.040189,30.258175375513687
218,0.039521,29.642820532807143
219,0.038444,30.104113396517075
220,0.037889,30.626385402928413
221,0.039574,31.4642063804484
222,0.038843,31.928568572156973
223,0.038859,32.029094885469405
224,0.038631,31.998842727060236
225,0.038501,31.864954778142923
226,0.038374,31.63121563563027
227,0.038251,30.52587624506176
228,0.037914,29.97057129861157
229,0.037645,29.953983212402303
230,0.037582,29.91037335657187
231,0.0373,29.95541072150374
232,0.037053,30.217098397965845
233,0.03688,30.195130943094117
234,0.036059,31.002268627106385
235,0.036294,30.757766659530283
236,0.036438,29.791133081152946
237,0.035469,29.906953183500768
238,0.036492,30.40261265440332
239,0.03649,31.997273685226624
240,0.036402,29.94393858211466
241,0.035396,29.898480428397562
242,0.036776,30.423879181059085
243,0.035199,30.337461967376946
244,0.035895,29.474813960762837
245,0.036878,30.79561846239518
246,0.035864,30.84954912629641
247,0.035548,29.77550113069767
248,0.035244,30.403186391016668
249,0.035185,29.775837490861523
250,0.034733,30.23157674662801
251,0.032795,31.812434241289708
252,0.031944,30.324853010890827
253,0.032061,30.47835034059365
254,0.031981,30.156398452128816
255,0.032573,30.895723709371786
256,0.032033,29.756883843242967
257,0.032692,31.88823747441953
258,0.033766,29.59889735972213
259,0.031485,31.90780425621249
260,0.03148,29.9398357322247
261,0.033335,31.14496844619825
262,0.033294,29.738690376648574
263,0.032847,30.297169657185858
264,0.032707,30.071930591756843
265,0.031305,31.07320681027466
266,0.030662,30.97650878033573
267,0.030209,30.246357671239814
268,0.030735,30.182812316118508
