batch_size,time,IAC
431,0.004737,71.55157850812515
432,0.004743,71.64700353422968
433,0.00475,79.60071842221474
434,0.004791,113.43505782174545
435,0.004579,74.65995208290674
436,0.004616,72.955851027156
437,0.004575,72.24690032959742
438,0.004557,72.81249371814027
439,0.004567,73.13020578393429
440,0.004567,74.19960982055281
441,0.004579,73.34278405693797
442,0.004538,71.74600751070648
443,0.004634,70.97355384651807
444,0.004562,71.20154782716645
445,0.004572,71.71932294497634
446,0.004484,72.0181514048286
447,0.004517,71.47423601844233
448,0.004575,72.60115775365976
449,0.004521,73.52018270835462
450,0.004548,73.75787434557668
451,0.004547,73.61344514742677
452,0.004506,73.54507712784674
453,0.004529,86.41939430377042
454,0.004449,129.39454675872713
455,0.004278,75.04770815859557
456,0.004339,75.11975127491546
457,0.004281,75.29566474133071
458,0.004375,75.09828888272277
459,0.004404,75.5107861167439
460,0.004386,76.75217572409525
461,0.004396,78.10832880120034
462,0.004393,79.33746039777773
463,0.004395,80.25284620657317
464,0.004403,79.8374492699686
465,0.004404,78.63195214589022
466,0.004441,78.33728411903468
467,0.004417,76.77353382121439
468,0.004405,75.07419054728759
469,0.004384,73.52022276214448
470,0.004404,72.7377724383684
471,0.00439,72.25356006533785
472,0.004267,71.87111331204133
473,0.004335,70.65581994448324
474,0.00426,75.66310376897795
475,0.004261,104.61982585692627
476,0.004348,168.1987006545735
477,0.004098,73.72909253047716
478,0.004151,73.92875556626667
479,0.004115,73.73936646869768
480,0.00415,74.01797949242885
481,0.004167,73.53772550173284
482,0.004247,72.96260614103917
483,0.00424,72.85073856589962
484,0.004144,72.28519653281067
485,0.004183,72.5893041088351
486,0.004213,73.25671563477555
487,0.004207,74.1956957619892
488,0.004211,75.25998363437608
489,0.004221,75.82806914726783
490,0.004249,76.02937761466579
491,0.00425,74.65559426275519
492,0.004225,74.65620197172879
493,0.004117,74.72626004004373
494,0.004184,74.8220348913368
495,0.004128,74.99201276168372
496,0.004151,74.29436033844902
497,0.004089,73.32716452027039
498,0.004085,82.26702527078614
499,0.004101,121.08430841807798
500,0.003925,76.63003377034168
501,0.003921,75.60459637791413
502,0.003948,73.85688455696203
503,0.004032,73.20513643975822
504,0.004042,73.32474599658285
505,0.004044,73.49376277739074
506,0.004043,73.30717596060347
507,0.00404,73.06591931903905
508,0.004044,72.88232348939411
509,0.003999,73.28770353571167
510,0.00404,73.7439472946483
511,0.004041,73.78079414528844
512,0.00401,73.53129339757912
513,0.004007,72.44331601721035
514,0.004098,72.59142784543255
515,0.004021,74.23367395132104
516,0.004003,74.80130092002311
517,0.003971,75.03823137282203
518,0.003992,75.80782000542165
519,0.004008,76.99089506672345
520,0.003976,77.8985265998164
521,0.003979,77.96418258727002
522,0.00398,77.89295065563614
523,0.003911,75.47714608354968
524,0.003917,81.2083592539721
525,0.004049,114.43930116043515
526,0.004031,179.9578664036214
527,0.003872,81.66163625660495
528,0.003858,83.11894233835656
529,0.003793,83.89078075613948
530,0.003819,83.56872386674787
531,0.0038,82.83234685404294
532,0.003782,82.73369676407178
533,0.0038,82.90591812034465
534,0.00377,82.56917381284286
535,0.003778,81.2041226329722
536,0.003781,79.74255696806901
537,0.003838,78.97735614836456
538,0.003825,77.96994981708897
539,0.003803,76.6276170622529
540,0.003833,75.55921498143881
541,0.003809,74.1108144948068
542,0.003746,73.66289466088514
543,0.003742,74.10301849592413
544,0.003748,74.28071762110308
545,0.003741,73.83108747491441
546,0.003756,72.98527104516603
547,0.003745,72.37312700997981
548,0.003758,71.4742003385891
549,0.003746,72.48274002990196
550,0.003788,73.20515400945192
551,0.003836,73.87736338508603
552,0.003793,72.3139720372316
553,0.003801,77.54249547368227
554,0.003762,107.02999542968878
555,0.003747,164.98347917954305
556,0.003578,79.01435638322927
557,0.003578,80.27556354781933
558,0.003564,79.89961287188302
559,0.003563,78.79046839758416
560,0.00357,76.92171341876528
561,0.003581,75.35231852061698
562,0.00357,74.9604538475741
563,0.003574,74.0134476888825
